Application ID                              Name
com.github.Matoking.protontricks            Protontricks
com.github.tchx84.Flatseal                  Flatseal
com.heroicgameslauncher.hgl                 Heroic
com.obsproject.Studio                       OBS Studio
com.usebottles.bottles                      Bouteilles
com.vysp3r.ProtonPlus                       ProtonPlus
io.github.dvlv.boxbuddyrs                   BoxBuddy
io.github.flattool.Warehouse                Warehouse
io.podman_desktop.PodmanDesktop             Podman Desktop
net.retrodeck.retrodeck                     RetroDECK
org.gimp.GIMP                               Éditeur d’image GIMP
org.onlyoffice.desktopeditors               ONLYOFFICE Desktop Editors
page.kramo.Cartridges                       Cartouches
